date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:03	77/77	---M--	200	added ('OK')	text/plain	etag:%224d-4dc85a8b024c6%22	http://www.adventuresinbridge.com/robots.txt		(from )
00:45:04	39425/39425	---M--	200	added ('OK')	text/html	etag:%229a01-54c97eb3cc3fa%22	http://www.adventuresinbridge.com/	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/index.html	(from )
00:45:05	1528/1528	---M--	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202017%2007:45:06%20GMT	http://www.adventuresinbridge.com/%c2%94http://www.adventuresinbridge.com/favicon.ico%c2%94	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/%c2%94http_/www.adventuresinbridge.com/favicon.html	(from http://www.adventuresinbridge.com/)
00:45:06	199557/199557	---M-Z	200	added ('OK')	application/x-javascript	etag:%224aec79fc907e6f6a2d71d5be31ddebc2%22	http://connect.facebook.net/en_US/all.js	C:/My%20Web%20Sites/AiB/connect.facebook.net/en_US/all.js	(from http://www.adventuresinbridge.com/)
00:45:07	7602/7602	---M--	200	added ('OK')	image/jpeg	etag:%221db2-509a9c3fa5f92%22	http://www.adventuresinbridge.com/images/playing_cards2_light_lg_wht.jpg	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/images/playing_cards2_light_lg_wht.jpg	(from http://www.adventuresinbridge.com/)
00:45:08	8171/8171	---M--	200	added ('OK')	image/gif	etag:%221feb-4dc8ca0d6dd0f%22	http://www.adventuresinbridge.com/images/BridgeSchool.gif	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/images/BridgeSchool.gif	(from http://www.adventuresinbridge.com/)
00:45:21	95758/95758	---M--	200	added ('OK')	image/jpeg	etag:%221760e-4f28c6df84ddb%22	http://www.adventuresinbridge.com/images/aib.jpg	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/images/aib.jpg	(from http://www.adventuresinbridge.com/)
00:45:21	1528/1528	---M--	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202017%2007:45:23%20GMT	http://www.adventuresinbridge.com/images/advbegcomp08.pdf	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/images/advbegcomp08.html	(from http://www.adventuresinbridge.com/)
00:45:22	1528/1528	---M--	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202017%2007:45:23%20GMT	http://www.adventuresinbridge.com/images/flyerBeg1207wn.pdf	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/images/flyerBeg1207wn.html	(from http://www.adventuresinbridge.com/)
00:45:23	23320/23320	---M--	200	added ('OK')	text/html	etag:%225b18-54ca195181c69%22	http://www.adventuresinbridge.com/Apr3a.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/Apr3a.html	(from http://www.adventuresinbridge.com/)
00:45:23	11423/11423	---M--	200	added ('OK')	text/html	etag:%222c9f-54bfa97a9e3c3%22	http://www.adventuresinbridge.com/results.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/results.html	(from http://www.adventuresinbridge.com/)
00:45:24	1718/1718	---M--	200	added ('OK')	text/html	etag:%226b6-54bb951e94d55%22	http://www.adventuresinbridge.com/Apr10a.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/Apr10a.html	(from http://www.adventuresinbridge.com/)
00:45:24	1528/1528	---M--	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202017%2007:45:25%20GMT	http://www.adventuresinbridge.com/images/ZeroTolerancePolicy.pdf	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/images/ZeroTolerancePolicy.html	(from http://www.adventuresinbridge.com/)
00:45:25	145896/145896	---M--	200	added ('OK')	text/html	etag:%22239e8-54537dee995b6%22	http://www.adventuresinbridge.com/mplists/2016/16Dec.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16Dec.html	(from http://www.adventuresinbridge.com/)
00:45:26	152509/152509	---M--	200	added ('OK')	text/html	etag:%22253bd-542c9b0996034%22	http://www.adventuresinbridge.com/mplists/2016/16Nov.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16Nov.html	(from http://www.adventuresinbridge.com/)
00:45:27	161250/161250	---M--	200	added ('OK')	text/html	etag:%22275e2-542c9b0d1e1c5%22	http://www.adventuresinbridge.com/mplists/2016/16Oct.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16Oct.html	(from http://www.adventuresinbridge.com/)
00:45:29	162585/162585	---M--	200	added ('OK')	text/html	etag:%2227b19-542c9b1110ad8%22	http://www.adventuresinbridge.com/mplists/2016/16Sep.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16Sep.html	(from http://www.adventuresinbridge.com/)
00:45:31	165066/165066	---M--	200	added ('OK')	text/html	etag:%22284ca-53cd16abd29f7%22	http://www.adventuresinbridge.com/mplists/2016/16Aug.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16Aug.html	(from http://www.adventuresinbridge.com/)
00:45:33	166505/166505	---M--	200	added ('OK')	text/html	etag:%2228a69-53cd16af28aed%22	http://www.adventuresinbridge.com/mplists/2016/16Jul.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16Jul.html	(from http://www.adventuresinbridge.com/)
00:45:35	163293/163293	---M--	200	added ('OK')	text/html	etag:%2227ddd-53750e113d8b6%22	http://www.adventuresinbridge.com/mplists/2016/16Jun.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16Jun.html	(from http://www.adventuresinbridge.com/)
00:45:37	155762/155762	---M--	200	added ('OK')	text/html	etag:%2226072-5348f5bd33195%22	http://www.adventuresinbridge.com/mplists/2016/16May.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16May.html	(from http://www.adventuresinbridge.com/)
00:45:39	147454/147454	---M--	200	added ('OK')	text/html	etag:%2223ffe-5348f548bd407%22	http://www.adventuresinbridge.com/mplists/2016/16Apr.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16Apr.html	(from http://www.adventuresinbridge.com/)
00:45:41	139925/139925	---M--	200	added ('OK')	text/html	etag:%2222295-52fc7b30cd9ce%22	http://www.adventuresinbridge.com/mplists/2016/16Mar.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16Mar.html	(from http://www.adventuresinbridge.com/)
00:45:43	156284/156284	---M--	200	added ('OK')	text/html	etag:%222627c-52fc7b2e8b70c%22	http://www.adventuresinbridge.com/mplists/2016/16Feb.htm	C:/My%20Web%20Sites/AiB/www.adventuresinbridge.com/mplists/2016/16Feb.html	(from http://www.adventuresinbridge.com/)
